公司名称	公司类型	融资阶段	标签	公司规模	公司所在地	职位类型	学历要求	福利	薪资	工作经验
1	深圳卫盈智信科技有限公司	金融	B轮	['年底双薪', '五险一金', '带薪年假', '扁平管理']	500-2000人	南山区	开发/测试/运维类	本科	独角兽企业,团队牛,培训多,假期长	20k-40k	不限
2	深圳卫盈智信科技有限公司	金融	B轮	['年底双薪', '五险一金', '带薪年假', '扁平管理']	500-2000人	南山区	开发/测试/运维类	本科	独角兽企业,团队牛,培训多,假期长	20k-40k	不限
3	试金石信用服务有限公司	数据服务,移动互联网	不需要融资	['绩效奖金', '带薪年假', '交通补助', '午餐补助']	50-150人	南山区	技术	本科	行业前景好、大牛团队	10k-20k	3-5年
4	比一比网络科技有限公司	电子商务,数据服务	A轮	['技能培训', '股票期权', '带薪年假', '岗位晋升']	50-150人	南山区	开发/测试/运维类	本科	每月讲座,海量大数据,优秀有期权	8k-15k	3-5年
5	深圳数位传媒科技有限公司	移动互联网,数据服务	B轮	['2个月年终奖', '团队靠谱', '期权股票', '带薪病假']	50-150人	南山区	开发/测试/运维类	本科	14薪,大牛团队,股票期权,领导nic	16k-30k	3-5年
6	深圳市紫川软件有限公司	电子商务,金融	不需要融资	['节日礼物', '年底双薪', '绩效奖金', '岗位晋升']	500-2000人	福田区	开发/测试/运维类	大专	员工体检 周末双休 员工旅游	9k-15k	3-5年
7	惠州市蓝库网络科技有限公司	企业服务,移动互联网	不需要融资	[]	15-50人	坪山新区	开发/测试/运维类	大专	做五休二,包吃包住,期权激励,发展空间大	8k-14k	1-3年
8	深圳华大基因股份有限公司	医疗健康,其他	上市公司	['年轻创新', '带薪年假', '绩效奖金', '岗位晋升']	2000人以上	盐田区	开发/测试/运维类	本科	五险一金,公寓食堂,开放团队,软硬一体	14k-24k	3-5年
9	深圳闻善科技有限公司	移动互联网,硬件	不需要融资	['扁平管理', '领导好', '技能培训']	50-150人	福田区	开发/测试/运维类	本科	世界五十强,五险一金,交通便利	15k-25k	1-3年
10	深圳市星炫科技有限公司	移动互联网	A轮	['年底双薪', '交通补助', '弹性工作', '领导好']	15-50人	南山区	开发/测试/运维类	本科	周末双休,鹅厂文化,有期权,零食管饱	15k-30k	3-5年
11	武汉佰钧成技术有限责任公司	移动互联网	不需要融资	['带薪年假', '计算机软件', '管理规范', '定期体检']	2000人以上	龙岗区	开发/测试/运维类	大专	双休,六险一金,急招,面试快	10k-15k	3-5年
12	上海赜睿信息科技有限公司	企业服务,数据服务	A轮	['股票期权', '绩效奖金', '带薪年假', '弹性工作']	15-50人	南山区	开发/测试/运维类	本科	发展空间,精英团队,技术前沿,丰厚福利	15k-30k	3-5年
13	上海海万信息科技股份有限公司	移动互联网,金融	不需要融资	[]	500-2000人	福田区	开发/测试/运维类	本科	银行,互联官网	10k-20k	5-10年
14	深圳市前海亿车科技有限公司	移动互联网,数据服务	A轮	['节日礼物', '年底双薪', '股票期权', '带薪年假']	150-500人	宝安区	开发/测试/运维类	本科	行业独角兽,学习氛围好,扁平化管理,领导好	15k-25k	3-5年
15	汇金智融（北京）科技有限公司	移动互联网,电子商务	上市公司	['年底双薪', '绩效奖金', '带薪年假', '弹性工作']	150-500人	南山区	开发/测试/运维类	本科	五险一金,年终奖,加班费,大平台	10k-15k	3-5年
16	深圳市紫川软件有限公司	电子商务,金融	不需要融资	['节日礼物', '年底双薪', '绩效奖金', '岗位晋升']	500-2000人	福田区	技术	大专	五险一金 员工旅游 周末双休	9k-15k	3-5年
17	试金石信用服务有限公司	数据服务,移动互联网	不需要融资	['绩效奖金', '带薪年假', '交通补助', '午餐补助']	50-150人	南山区	开发/测试/运维类	本科	行业前景好、大牛团队	7k-14k	1-3年
18	武汉佰钧成技术有限责任公司	移动互联网	不需要融资	['带薪年假', '计算机软件', '管理规范', '定期体检']	2000人以上	龙华区	开发/测试/运维类	大专	五险一金,五天八小时,优厚奖金,项目外包	18k-30k	5-10年
19	深圳市递四方信息科技有限公司	移动互联网,电子商务	D轮及以上	['五险一金', '带薪年假', '节日礼物', '定期体检']	500-2000人	宝安区	技术	大专	阿里系 自主研发 团队氛围好 技术大咖多	15k-30k	3-5年
20	北京掌众科技有限公司	移动互联网,金融	B轮	['技能培训', '节日礼物', '绩效奖金', '年度旅游']	500-2000人	南山区	开发/测试/运维类	本科	七险一金,年终绩效,团队氛围好,发展空间大	15k-30k	3-5年
21	深圳达飞金融控股有限公司	移动互联网,金融	不需要融资	['节日礼物', '年底双薪', '股票期权', '带薪年假']	2000人以上	南山区	开发/测试/运维类	本科	周末双休、五险一金、年底双薪、发展前景好	20k-30k	5-10年
22	维恩贝特科技有限公司	电子商务,金融	A轮	['年底双薪', '五险一金', '通讯津贴', '交通补助']	500-2000人	罗湖区	开发/测试/运维类	本科	年度调薪,晋升空间,年度旅游,专业培训	12k-20k	3-5年
23	深圳市金证科技股份有限公司	金融	上市公司	['激情的团队', '股票期权', '努力变大牛', '有舞台给您跳']	2000人以上	福田区	开发/测试/运维类	本科	上市公司,大型项目,年度旅游,五险一金	12k-20k	3-5年
24	深圳市博奥特科技有限公司	移动互联网,金融	未融资	['绩效奖金', '领导好', '帅哥多', '美女多']	150-500人	南山区	开发/测试/运维类	本科	技术较新,互联网技术,靠近地铁,福利完善	10k-16k	3-5年
25	竹间智能科技（上海）有限公司	移动互联网,其他	B轮	['年底双薪', '股票期权', '带薪年假', '绩效奖金']	150-500人	南山区	开发/测试/运维类	本科	扁平管理,AI技术,技能培训,发展空间	15k-30k	3-5年
